title,release_date,genre
Street Gang: How We Got to Sesame Street,2021-12-13,Documentário
Stuber,2021-11-22,"Comédia ,Ação"
Te Presento a Laura,2022-03-02,"Família,Comédia,Drama"
Teias da Alma,2022-03-26,Drama
Terremoto,2022-02-01,"Aventura,Drama"
The Apollo,2022-03-25,Documentário
The Band That Wouldn't Die,2022-02-15,"Documentário,Esporte"
The Debt Collector 2,2022-03-17,"Ação,Comédia"
The Envelope,2022-03-29,Drama
The Fable,2021-11-17,"Ação,Comédia"
The Fable: O Assassino Que Não Podia Matar,2021-11-17,"Ação,Comédia"
The Fall of the American Empire,2022-04-29,Drama
The First Wave,2022-02-15,Documentário
The Forever Prisoner,2021-12-15,Documentário
The Mole Song: Undercover Agent Reiji,2021-12-04,"Ação,Comédia"
The Most Magical Story on Earth: 50 Years of Walt Disney World,2021-12-08,Documentário
The Public,2022-01-07,Drama
The Queen of Fear,2021-11-22,Drama
The Racer,2022-02-18,Drama
The Search,2022-02-16,"Drama,Guerra"
Todos Estão Mortos,2021-12-03,"Drama,Fantasia,Comédia "
Toscana,2022-05-18,"Comédia,Romance"
Tudo Menos Natal,2021-12-24,"Comédia,Aventura,Fantasia"
Turma da Mônica: Aventuras no Natal,2021-12-10,Animação
UFO,2022-02-24,"Drama,Romance"
Um Amor Após A Vida,2021-11-21,"Comédia,Romance,Fantasia"
Um Brinde ao Sucesso,2022-05-27,Comédia
Um Buquê de Natal,2021-11-26,"Romance,Drama"
Um Cão Para Dois,2022-01-15,Romance
Um Castelo para o Natal,2021-11-26,"Romance,Comédia,Família"
Um Dia em Nova York,2022-04-29,"Comédia Musical,Comédia ,Romance"
Um Dia Para Sempre!,2021-11-18,"Comédia,Romance"
Um filme de verão!,2021-12-09,"Comédia,Ficção científica,Fantasia"
Um Golpe Quase Perfeito,2021-11-28,"Comédia,Ação"
Um Mundo Secreto,2022-03-06,Drama
Um Natal Cinco Estrelas,2021-11-26,"Comédia,Romance"
Um Natal no Castelo,2021-12-22,Romance
Um Novato na Máfia,2022-04-16,Comédia
Um Olhar de Esperança,2021-12-31,Drama
Um Reencontro Natalino,2021-12-23,Romance
Uma Caixa Especial,2021-11-22,Drama
Uma Cidade de Loucura,2021-12-24,Comédia
Uma Doce Revolução,2022-03-08,"Romance,Drama"
Uma Mulher Fatal,2022-01-07,"Drama,Romance"
Uma Noite de Amor,2021-11-22,"Romance,Comédia dramática"
Una Navidad no tan padre,2021-12-21,Comédia
Unhuman,2022-06-03,"Terror,Suspense,Comédia"
Unidade Wega,2022-01-08,Drama
V.I.P,2022-04-27,"Policial,Suspense"
Velha Roupa Colorida,2022-02-24,Drama
Vem Brincar,2021-12-18,"Drama,Terror"
Vidas Cruzadas,2021-12-23,Drama
Vincent-N-Roxxy,2022-04-05,"Ação,Drama,Suspense"
Virando a Mesa,2022-01-10,"Ação,Comédia"
Viva Zapata!,2021-11-22,"Biografia,Histórico"
Vôo Noturno,2022-05-10,Drama
Wild - Rede selvagem,2021-12-02,Documentário
Women Of Troy,2022-01-14,Documentário
Yalda - Uma Noite de Perdão,2021-12-09,"Drama,Suspense"
Yesterday Wonder I Was,2021-11-29,"Drama,Ficção científica"
Youngstown Boys,2022-02-15,Documentário
